estid,os,deviceType,li_age,li_gender,li_income,city_location,city_size,city_tech,city_urban,organization
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADWQONSoAAAAIL2GfAw==,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,0,1,5,1,5,1,1,0,1,0
ZGkADWWF91IAAAAIBbIXAw==,0,1,5,0,3,1,0,1,1,0
ZGkADWWF91IAAAAIBbIXAw==,0,1,5,0,3,1,0,1,1,0
ZGkADWWF91IAAAAIBbIXAw==,0,1,5,0,3,1,0,1,1,0
ZGkADWWF91IAAAAIBbIXAw==,0,1,5,0,3,1,0,1,1,0
ZGkADWWF91IAAAAIBbIXAw==,0,1,5,0,3,1,0,1,1,0
ZGkADmWJEQ4AAAAJB5/wAw==,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,0,1,5,0,5,1,0,0,2,0
ZGmAAmVjuAoAAAAIVstkAw==,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,4,0,3,1,0,3,0,0,2,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,0,5,1,3,2,1,0,1,1
ZGmABWTCfjIAAAAIBS0sAw==,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,1,0,3,0,4,3,0,1,1,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,1,0,3,0,4,3,0,1,2,0
ZGmACGU77nwAAAAIHP6YAw==,0,1,5,0,3,1,2,0,1,0
ZGmACGU77nwAAAAIHP6YAw==,0,1,5,0,3,1,2,0,1,0
ZGmACGU77nwAAAAIHP6YAw==,0,1,5,0,3,1,2,0,1,0
ZGmACGU77nwAAAAIHP6YAw==,0,1,5,0,3,1,2,0,1,0
ZGmACGU77nwAAAAIHP6YAw==,0,1,5,0,3,1,2,0,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACGVSxwcAAAAIA1oVAw==,4,0,5,0,2,1,0,1,1,0
ZGmACWVfSgUAAAAIBdtvAw==,0,1,3,0,0,1,0,0,1,0
ZGmACWVfSgUAAAAIBdtvAw==,0,1,3,0,0,1,0,0,1,0
ZGmACWVfSgUAAAAIBdtvAw==,0,1,3,0,0,1,0,0,1,0
ZGmACWVfSgUAAAAIBdtvAw==,0,1,3,0,0,1,0,0,1,0
ZGoAA2OwtyUAAAAIR7JZAw==,4,0,1,0,0,3,0,0,1,1
ZGoAA2OwtyUAAAAIR7JZAw==,4,0,1,0,0,3,0,0,1,1
ZGoAA2OwtyUAAAAIR7JZAw==,4,0,1,0,0,3,0,0,1,1
ZGoAA2OwtyUAAAAIR7JZAw==,4,0,1,0,0,3,0,0,1,1
ZGoAA2OwtyUAAAAIR7JZAw==,4,0,1,0,0,3,0,0,1,1
ZGoAA2OwtyUAAAAIR7JZAw==,4,0,1,0,0,3,0,0,1,1
ZGoAA2PDGzwAAAAILqzQAw==,0,1,3,0,0,2,1,0,1,0
ZGoAA2PDGzwAAAAILqzQAw==,0,1,3,0,0,2,1,0,1,0
ZGoAA2PDGzwAAAAILqzQAw==,0,1,3,0,0,2,1,0,1,0
ZGoAA2PDGzwAAAAILqzQAw==,0,1,3,0,0,2,1,0,1,0
ZGoAA2PDGzwAAAAILqzQAw==,0,1,3,0,0,2,1,0,1,0
ZGoAA2PDGzwAAAAILqzQAw==,0,1,3,0,0,2,1,0,1,0
ZGoAA2PDGzwAAAAILqzQAw==,0,1,3,0,0,2,1,0,1,0
